epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.179079649027693,0.49325177821304267,0.9301226504100443,0.9388909308639926,0.9200462422372877,0.9293730689896984,0.979748000158065,0.9819131144490149,0.8596078916445049,0.43859148033295253,0.8345496894409938,0.5749973253450306,0.9009391833892375,0.7460369615127902
2,0.10286939799840226,0.21447577882290123,0.9626068655199942,0.96527359401047,0.959621333705487,0.962439165211103,0.9929466822175467,0.9934672303123064,0.9328167657687109,0.6777388492116966,0.7809782608695652,0.7257052160738764,0.9126967984986856,0.8211106949035041
3,0.08577751467014827,0.17957419592463036,0.9696552725161478,0.9712070680475103,0.9677473895324771,0.969474142235954,0.9950109445983513,0.9953064120478291,0.9521217850737301,0.8423419289712765,0.7126552795031056,0.7720906758632292,0.9168887010711582,0.819124292264181
4,0.07582252627963061,0.20379857440793567,0.9730285216634008,0.9738297859964051,0.9721728627341673,0.9730006189719254,0.9960944279057421,0.9962863298561169,0.9321452868363623,0.672003175443239,0.7886645962732919,0.7256750964423488,0.9163248745276966,0.8311935667040757
5,0.07075072762997128,0.25392610348147104,0.9752870309891865,0.9758666488803308,0.974786800148313,0.9753264256213318,0.996562337363246,0.9967096255368944,0.9063728651829338,0.5597925724163219,0.8297360248447205,0.6685433674267306,0.9214076546046844,0.8437861468147039
6,0.06822056277500892,0.2722691065464652,0.9760447057115901,0.9762947050627032,0.9758074811694115,0.9760510323131129,0.9968024012182475,0.9969208276885159,0.9113117694353392,0.5800653594771242,0.7993012422360248,0.6722606765051586,0.9119181562319587,0.8060478673711684
7,0.06566390319310128,0.1757527993551032,0.9772146019304739,0.9777293999860299,0.9766095131778619,0.9771691357198747,0.9970039728842199,0.9971174165816282,0.9517683751093362,0.7920044070197529,0.7813664596273292,0.7866494704342047,0.9231650598685981,0.8480776059128978
8,0.06380679308418089,0.3341218077681958,0.9776500471732347,0.978053257737708,0.9772414633721639,0.9776471920355602,0.9971656817276677,0.9972320600187254,0.8961946582083882,0.5286024986090739,0.8114130434782608,0.6401641603626229,0.9114936141782326,0.8048666705325374
9,0.06238821238358288,0.3515521361561771,0.9781145220988461,0.9783288209251793,0.977879986294767,0.9781043521194256,0.9973149129651914,0.9973853960518861,0.8922276313580662,0.5167501719225858,0.8167701863354038,0.6330104097719478,0.9075168493347145,0.8099066368179357
10,0.060857723648363504,0.450657174703606,0.9788780027578199,0.9788109048723898,0.978981261240355,0.9788960756446325,0.9974056331147134,0.997477513506196,0.8675684510924786,0.45462759777978573,0.8203416149068323,0.5850336369424988,0.8994525206636315,0.7817653612825065
11,0.058810562766324376,0.21190580575511037,0.9795543943682415,0.979605599739547,0.9794518557270323,0.9795287217004852,0.9975854307562055,0.9976082997278046,0.936774957369923,0.697897939427465,0.7836180124223603,0.7382781069417014,0.9142563924166918,0.8115115085855287
12,0.05818732853453022,0.38887841871580703,0.9795427824951013,0.9793824620142062,0.9796500979702426,0.9795162617104953,0.9976619550293935,0.9977104178110717,0.8745836388856983,0.4701204271756419,0.8031832298136646,0.5930915866418232,0.9026088614541419,0.7939765117631239
13,0.05793502878246572,0.1962505707529864,0.9798098555773278,0.9794048882932744,0.9802294659342956,0.9798170036303276,0.9976523944356329,0.9977019058395571,0.9453451490064763,0.7671189146049481,0.7462732919254659,0.7565525383707202,0.9117338118451404,0.8141170069749601
14,0.05742779006991056,0.27360145192785823,0.979777922926192,0.9798772920750165,0.9797295730222418,0.9798034269809517,0.997696247165821,0.9977362614584184,0.9114354629228771,0.5809065155807366,0.7960403726708074,0.6716672125777923,0.9035558968282624,0.7755908653768997
